Age,Income,Employment_Status,Loan_Amount,Existing_Debt,Credit_History,Number_of_Loans,Payment_History,Credit_Score_Value,Creditworthy
48,52632,Employed,32504,30944,Poor,5,On-Time,597,0
22,132099,Employed,20438,3091,Good,1,Delayed,449,1
62,90310,Employed,8744,26647,Good,5,Delayed,669,1
65,134945,Self-Employed,21284,1700,Fair,2,Delayed,425,0
26,80176,Self-Employed,42748,16221,Good,2,On-Time,320,0
48,111066,Self-Employed,10069,19738,Good,1,On-Time,751,1
48,130500,Employed,22799,11587,Fair,5,On-Time,625,1
64,69327,Self-Employed,36210,31316,Poor,2,On-Time,372,0
64,93904,Self-Employed,31226,23908,Fair,4,On-Time,839,1
40,28797,Employed,7652,636,Poor,3,Defaulted,649,0
50,72882,Unemployed,27323,17913,Fair,3,On-Time,644,0
31,38718,Self-Employed,10597,19478,Fair,2,Delayed,433,0
48,59560,Employed,40226,1161,Good,5,On-Time,466,1
45,101589,Employed,9591,27753,Fair,6,On-Time,485,1
59,47116,Employed,28833,27384,Poor,2,On-Time,698,0
53,61244,Employed,14826,33354,Good,6,On-Time,458,0
21,126721,Employed,29417,11204,Good,6,On-Time,618,1
47,26645,Employed,21693,25027,Good,5,On-Time,595,1
33,72523,Self-Employed,17138,16822,Good,6,Delayed,497,1
61,44256,Unemployed,5169,7468,Good,4,On-Time,673,1
23,126376,Self-Employed,21556,28018,Fair,5,On-Time,473,1
59,125158,Employed,25052,28386,Poor,2,Delayed,520,0
26,78173,Employed,9313,2200,Good,4,Delayed,434,1
28,62430,Employed,11315,28746,Good,1,Delayed,387,0
47,64282,Employed,11036,23699,Good,3,On-Time,764,1
29,88374,Self-Employed,34778,32615,Poor,2,Defaulted,764,0
57,93244,Unemployed,30734,6020,Good,2,On-Time,645,1
53,36694,Employed,26173,21429,Good,2,On-Time,678,1
62,81264,Self-Employed,33403,15455,Good,4,On-Time,464,1
64,100060,Self-Employed,3785,14417,Good,1,On-Time,594,1
44,122416,Employed,9139,5257,Good,5,On-Time,828,1
35,82545,Self-Employed,9344,13545,Poor,1,On-Time,498,1
52,64224,Employed,21800,5233,Fair,4,On-Time,796,1
52,127516,Employed,28372,31454,Fair,2,On-Time,733,1
44,122945,Employed,23538,31635,Good,3,On-Time,472,1
61,38224,Employed,17973,7581,Fair,2,Delayed,423,0
32,65738,Employed,8619,24001,Fair,5,Defaulted,394,0
59,50150,Employed,37704,21613,Good,6,On-Time,447,0
22,88731,Employed,39575,34941,Fair,3,Delayed,664,0
23,74688,Employed,42919,25190,Good,2,Delayed,478,0
57,124929,Employed,30716,29845,Fair,3,On-Time,745,1
37,133618,Employed,6236,27329,Good,6,On-Time,342,1
22,98509,Employed,18848,4130,Poor,1,Delayed,366,0
22,33577,Employed,5352,32370,Good,4,Defaulted,463,0
48,33070,Employed,4932,3953,Fair,2,On-Time,738,1
43,33666,Employed,13913,8828,Fair,5,On-Time,404,1
57,82761,Employed,11556,16034,Fair,1,On-Time,735,1
52,61368,Employed,24300,20244,Good,2,On-Time,801,1
53,31783,Self-Employed,8498,19889,Good,1,Delayed,775,0
21,136530,Employed,13582,15165,Fair,5,Delayed,616,1
39,66914,Employed,12569,9140,Good,2,On-Time,431,1
22,95507,Unemployed,7857,26021,Good,6,Delayed,549,0
64,104026,Self-Employed,3340,30549,Fair,6,On-Time,415,1
46,136255,Self-Employed,19766,6118,Good,5,Defaulted,697,1
52,135616,Self-Employed,29132,2420,Good,3,On-Time,475,1
26,92526,Employed,11491,4688,Good,5,On-Time,740,1
52,95835,Employed,3138,12707,Good,3,On-Time,424,1
24,70765,Employed,3358,738,Fair,2,On-Time,649,1
31,44956,Employed,12714,33472,Fair,3,On-Time,758,1
37,112895,Employed,22840,11299,Fair,2,On-Time,451,1
58,71240,Employed,37395,6052,Poor,2,On-Time,701,1
44,62148,Employed,33654,29416,Good,4,Delayed,457,0
25,119270,Self-Employed,28879,5427,Good,2,On-Time,589,1
54,29757,Self-Employed,18996,28464,Good,3,On-Time,715,1
26,44097,Employed,40772,11664,Good,4,On-Time,783,1
42,35395,Self-Employed,29762,19571,Poor,4,Delayed,769,0
31,41241,Employed,16283,6660,Good,2,On-Time,650,1
36,128892,Self-Employed,42420,16310,Good,5,Defaulted,572,0
53,52696,Employed,22554,5626,Good,5,Delayed,604,1
29,95480,Unemployed,23219,30509,Fair,6,On-Time,593,1
26,71163,Employed,37919,34084,Fair,4,On-Time,339,0
36,44816,Employed,12429,25896,Good,2,On-Time,558,1
49,74840,Employed,42673,692,Poor,5,On-Time,589,1
23,127547,Employed,22218,13316,Good,2,Delayed,737,1
40,77853,Employed,15452,32630,Good,2,Defaulted,629,0
56,49917,Employed,21951,31198,Poor,4,On-Time,350,0
39,121731,Employed,4307,11155,Good,6,On-Time,423,1
46,46566,Employed,17852,30575,Poor,4,Delayed,505,0
23,100452,Employed,28232,9859,Poor,1,On-Time,447,1
39,87823,Unemployed,38428,33772,Fair,5,On-Time,529,0
40,45806,Employed,29485,15171,Fair,5,On-Time,733,1
52,100520,Employed,13238,27548,Good,5,On-Time,600,1
27,26759,Employed,41975,11238,Poor,3,Delayed,572,0
61,66949,Self-Employed,4140,26463,Good,2,On-Time,338,1
53,117374,Employed,27842,7273,Fair,4,On-Time,455,1
60,27482,Unemployed,29421,30394,Poor,5,Defaulted,542,0
59,49442,Self-Employed,4708,1217,Poor,1,On-Time,322,0
38,58719,Employed,6630,12176,Fair,5,Delayed,555,1
60,83066,Employed,22595,4934,Good,6,On-Time,784,1
21,118501,Self-Employed,13485,29600,Poor,2,On-Time,547,1
31,27079,Self-Employed,31308,5494,Fair,2,Defaulted,818,0
48,27717,Employed,29086,4734,Poor,4,On-Time,458,0
45,84676,Employed,19859,4264,Fair,3,On-Time,595,1
43,52952,Self-Employed,10684,23685,Good,4,On-Time,610,1
51,111444,Employed,28552,12499,Good,5,On-Time,372,1
50,67460,Self-Employed,4207,3081,Fair,6,On-Time,429,1
62,115397,Employed,4960,3263,Fair,1,Delayed,323,0
55,97847,Employed,3557,27874,Good,4,Defaulted,366,0
27,118607,Self-Employed,32689,11031,Fair,3,Defaulted,413,0
36,114106,Employed,16893,25807,Good,4,On-Time,532,1
46,43449,Employed,35272,31335,Fair,2,On-Time,755,1
22,58536,Employed,3882,11564,Good,5,On-Time,827,1
21,89077,Employed,40529,11812,Good,5,Delayed,524,1
32,63258,Employed,41635,6976,Good,5,On-Time,700,1
25,73302,Employed,32535,25065,Good,5,On-Time,392,0
57,53865,Employed,15869,2882,Good,5,Delayed,835,1
52,31645,Self-Employed,10166,22963,Good,5,On-Time,395,0
29,63000,Employed,15982,33902,Good,1,On-Time,396,0
61,51737,Employed,43697,26845,Poor,3,Defaulted,729,0
55,36485,Employed,41115,27446,Poor,5,Defaulted,425,0
39,63565,Self-Employed,10269,14662,Good,3,On-Time,795,1
36,50522,Self-Employed,31064,8897,Poor,6,On-Time,594,0
23,90155,Employed,16527,22835,Good,5,Defaulted,407,0
40,80168,Employed,5454,14894,Fair,4,On-Time,396,1
44,77487,Employed,23878,27697,Fair,5,On-Time,396,1
53,37342,Self-Employed,15991,22510,Good,2,On-Time,761,1
44,65806,Self-Employed,5808,24623,Good,1,On-Time,564,1
31,73770,Employed,42410,22887,Good,4,On-Time,701,1
28,103623,Self-Employed,39593,3390,Good,4,On-Time,461,1
56,128177,Self-Employed,39304,28269,Fair,2,On-Time,687,1
58,124785,Employed,33386,8526,Good,5,On-Time,403,1
60,100629,Employed,6802,3806,Good,1,Defaulted,462,0
40,77603,Employed,31753,34165,Good,4,Delayed,671,0
55,137726,Employed,24083,9777,Good,1,Delayed,471,1
45,106974,Self-Employed,21354,15183,Good,4,On-Time,477,1
55,130947,Employed,25190,1170,Good,5,On-Time,765,1
45,51399,Employed,9142,24175,Poor,6,On-Time,622,1
49,110382,Employed,31398,18389,Good,4,Defaulted,769,1
38,106244,Employed,44862,13506,Good,6,On-Time,543,1
66,134575,Employed,36132,27031,Fair,4,On-Time,362,1
38,135904,Employed,22503,22139,Good,3,Delayed,583,1
22,101534,Employed,37631,17133,Fair,5,On-Time,322,1
55,80106,Employed,19499,3939,Fair,2,On-Time,587,1
36,137599,Employed,42852,32672,Good,6,Defaulted,335,0
61,55678,Employed,11016,12077,Good,2,Delayed,653,1
56,101218,Employed,5384,12263,Good,5,On-Time,783,1
53,88230,Employed,18072,20676,Good,2,Defaulted,378,0
24,139684,Employed,39703,24755,Good,5,Delayed,496,0
53,99055,Employed,17482,20496,Good,2,Delayed,382,1
34,81373,Employed,43510,21562,Good,6,On-Time,626,1
41,56480,Employed,24826,12205,Good,3,On-Time,565,1
40,110230,Self-Employed,5490,28547,Fair,2,On-Time,608,1
28,93836,Employed,28518,11466,Fair,6,Delayed,651,1
27,97258,Employed,27045,17874,Good,4,On-Time,574,1
23,64986,Self-Employed,29910,11638,Good,5,On-Time,829,1
37,49160,Employed,27566,16435,Poor,1,On-Time,782,1
53,110595,Employed,36905,989,Fair,1,Delayed,518,1
32,126358,Self-Employed,30103,22760,Poor,5,On-Time,590,0
42,104111,Self-Employed,39188,26569,Good,3,On-Time,383,1
42,89929,Employed,8845,19775,Fair,2,On-Time,549,1
66,98506,Employed,24162,33321,Good,3,On-Time,568,1
50,59911,Employed,39674,17499,Good,1,Delayed,565,0
58,112127,Employed,22337,34222,Good,6,Delayed,476,0
58,56821,Employed,25313,11125,Good,5,On-Time,407,1
65,100039,Employed,29943,2129,Good,5,On-Time,632,1
28,85535,Employed,15413,11473,Good,3,Delayed,385,1
47,138453,Employed,3276,7359,Fair,6,On-Time,339,1
47,109458,Self-Employed,20611,22339,Poor,3,On-Time,352,0
54,37175,Employed,42105,27716,Good,2,Defaulted,392,0
41,79771,Employed,14944,19445,Good,4,On-Time,662,1
50,131660,Employed,18906,7039,Good,6,Defaulted,452,0
53,111925,Employed,23536,34125,Fair,4,On-Time,374,1
48,138374,Employed,30810,5386,Good,2,On-Time,380,1
67,91358,Employed,15306,7985,Poor,4,On-Time,839,1
53,42327,Employed,13503,31955,Good,1,Defaulted,591,0
25,72057,Employed,22225,17267,Good,4,On-Time,565,1
39,31150,Employed,39976,28953,Fair,2,On-Time,495,0
24,29425,Employed,14590,11244,Fair,4,Defaulted,636,0
55,41032,Employed,13886,12726,Good,5,On-Time,450,1
37,27198,Employed,15866,28369,Good,3,On-Time,421,0
64,85500,Unemployed,4088,23088,Poor,1,On-Time,629,1
48,78394,Employed,6363,13940,Good,5,Delayed,611,1
50,45079,Employed,35792,32209,Poor,5,On-Time,814,1
49,61220,Employed,12764,22995,Good,2,On-Time,680,1
66,66874,Employed,23620,1422,Fair,3,On-Time,657,1
26,38859,Unemployed,15935,28026,Fair,3,On-Time,329,0
55,75460,Employed,11068,8457,Good,6,Defaulted,368,0
61,56419,Self-Employed,10295,34498,Poor,1,Defaulted,806,0
57,33705,Employed,44160,24531,Good,2,Delayed,640,0
44,67880,Employed,14390,10506,Good,1,Delayed,452,1
49,48236,Employed,44216,26439,Fair,6,Delayed,402,0
66,112955,Self-Employed,23131,20824,Good,4,On-Time,376,1
51,110514,Employed,32218,23367,Fair,5,Delayed,695,1
55,128145,Employed,13433,703,Good,1,On-Time,668,1
53,40358,Unemployed,18038,17044,Good,5,On-Time,590,0
41,124713,Employed,31182,16399,Good,2,Delayed,802,1
52,119914,Employed,14528,29563,Good,4,On-Time,430,1
43,127870,Employed,24281,25844,Good,2,Delayed,395,1
53,101918,Unemployed,11605,4248,Fair,4,On-Time,477,1
23,39596,Employed,37782,1593,Poor,4,On-Time,648,0
38,58572,Self-Employed,4381,15728,Fair,5,On-Time,441,1
45,103757,Self-Employed,4098,21384,Good,2,On-Time,360,1
62,26279,Employed,22810,25683,Good,2,Delayed,486,0
51,88197,Employed,27322,16534,Good,1,On-Time,342,1
23,136496,Employed,44869,6210,Good,2,On-Time,598,1
60,87516,Employed,35955,19759,Good,1,On-Time,788,1
66,32083,Self-Employed,13207,33957,Good,3,On-Time,719,1
44,134397,Self-Employed,24793,20643,Good,3,On-Time,328,1
52,42771,Employed,5092,2603,Poor,3,Defaulted,332,0
67,54975,Employed,31220,865,Good,6,On-Time,371,1
42,70648,Employed,21514,16603,Good,2,Delayed,528,1
43,73285,Employed,41010,33010,Good,6,Delayed,721,0
22,44063,Employed,11549,24976,Good,2,On-Time,510,1
47,92642,Employed,25031,13242,Poor,1,Delayed,370,0
62,115093,Employed,8185,12891,Good,6,Delayed,712,1
22,139390,Employed,18271,29401,Good,6,On-Time,619,1
46,111143,Employed,8776,32501,Good,6,On-Time,515,1
37,62599,Employed,15449,16123,Good,4,On-Time,736,1
60,76920,Employed,27297,2878,Good,1,Defaulted,739,1
53,53529,Self-Employed,43591,21872,Fair,3,Defaulted,675,0
29,60954,Employed,18717,31246,Fair,1,Delayed,467,0
63,52856,Unemployed,43123,28423,Fair,4,On-Time,684,0
59,27573,Self-Employed,42233,10367,Good,2,On-Time,683,1
49,103344,Employed,13350,34224,Fair,1,On-Time,721,1
62,60367,Self-Employed,33622,9806,Good,6,On-Time,811,1
46,127337,Employed,38323,15408,Good,3,On-Time,548,1
55,131732,Employed,5951,27581,Fair,3,Defaulted,587,0
45,124608,Employed,20622,23886,Good,2,Defaulted,724,1
44,85774,Employed,7727,28802,Good,1,Delayed,330,0
33,48752,Employed,41454,19712,Fair,4,On-Time,639,1
27,80029,Employed,39469,11198,Good,2,On-Time,445,1
56,42685,Employed,38548,5094,Fair,1,On-Time,625,1
65,76693,Employed,26782,26025,Good,5,Delayed,830,1
40,80961,Employed,31454,14782,Poor,3,Delayed,408,0
21,131937,Self-Employed,5368,14834,Poor,4,On-Time,674,1
28,101908,Employed,18592,29679,Poor,6,On-Time,671,1
66,99532,Employed,25173,7144,Good,4,On-Time,333,1
36,106994,Self-Employed,36204,33433,Good,6,On-Time,576,1
34,81133,Employed,38596,34187,Good,4,On-Time,528,1
32,122425,Employed,37324,17875,Good,3,On-Time,600,1
43,86268,Employed,26864,31426,Good,6,On-Time,762,1
35,117201,Employed,33750,18142,Fair,1,Delayed,708,1
48,63243,Unemployed,13576,24493,Good,6,On-Time,802,1
54,82384,Employed,19566,21688,Poor,2,On-Time,466,0
22,56653,Unemployed,10190,33096,Good,1,On-Time,598,0
52,51657,Employed,26071,28272,Good,2,On-Time,753,1
43,64952,Employed,41333,31357,Good,4,On-Time,463,1
42,47180,Employed,18369,11276,Poor,1,On-Time,608,1
45,122432,Employed,27035,33335,Fair,4,On-Time,705,1
42,103411,Employed,4589,10288,Fair,5,On-Time,333,1
42,26622,Self-Employed,28235,6160,Poor,4,Delayed,576,0
62,73756,Self-Employed,3159,4978,Good,4,On-Time,665,1
26,65809,Employed,15145,8710,Good,2,Delayed,664,1
35,41725,Unemployed,18373,11422,Good,6,On-Time,719,0
63,86396,Self-Employed,34921,33840,Fair,5,On-Time,526,0
57,76226,Employed,42323,19142,Good,4,On-Time,491,0
53,131296,Employed,19237,11594,Good,4,On-Time,783,1
28,106182,Employed,44971,22923,Poor,5,Defaulted,589,0
64,107565,Employed,11244,33918,Poor,5,Delayed,540,0
64,54402,Employed,17743,6241,Fair,1,Defaulted,471,0
25,29263,Employed,34566,7338,Fair,2,Defaulted,502,0
59,121523,Self-Employed,21691,3762,Fair,5,On-Time,718,1
24,71828,Employed,36996,5496,Good,5,On-Time,391,1
26,72924,Employed,8590,22664,Good,3,On-Time,737,1
65,99182,Unemployed,8585,30757,Fair,6,Defaulted,602,0
52,118065,Self-Employed,12227,14711,Fair,5,Delayed,393,0
50,84052,Employed,31278,30953,Good,2,On-Time,674,1
67,36664,Self-Employed,41814,5732,Poor,6,Delayed,816,0
55,60737,Employed,15237,2717,Good,6,On-Time,647,1
60,126332,Employed,18649,24729,Good,4,On-Time,766,1
36,114563,Employed,40713,14732,Fair,4,On-Time,692,1
33,54373,Employed,10927,26113,Good,4,Delayed,681,1
62,61397,Employed,10016,14526,Good,4,Delayed,412,1
50,111145,Employed,17027,29054,Good,3,On-Time,640,1
39,126371,Employed,27142,31408,Fair,5,On-Time,643,1
37,63709,Employed,26545,20110,Good,4,On-Time,703,1
39,86120,Employed,34897,7531,Fair,1,Delayed,665,1
48,44250,Self-Employed,6167,26015,Fair,4,On-Time,422,0
46,46172,Employed,29917,1070,Good,5,On-Time,534,1
57,36555,Employed,25736,32754,Poor,4,On-Time,511,0
46,112410,Employed,30990,19788,Good,3,On-Time,513,1
43,103617,Employed,17087,13788,Poor,2,On-Time,699,1
29,78276,Employed,25440,30377,Good,2,Delayed,722,0
32,82492,Self-Employed,38205,19389,Poor,5,On-Time,330,0
21,78002,Employed,18275,1417,Good,2,Delayed,506,1
21,114599,Employed,8276,10566,Good,2,On-Time,334,1
67,97355,Employed,44627,30004,Good,1,On-Time,616,1
54,116248,Employed,43586,7482,Good,5,On-Time,730,1
52,49762,Employed,40496,18562,Fair,5,Delayed,371,0
45,36046,Employed,22008,17499,Good,2,Defaulted,347,0
60,121999,Employed,8738,10441,Fair,2,Defaulted,336,0
65,53769,Employed,35402,23970,Good,2,On-Time,670,1
21,78302,Employed,8793,21633,Good,6,On-Time,747,1
36,48150,Employed,40291,5029,Fair,3,Delayed,548,0
59,93247,Self-Employed,8571,18019,Good,4,Delayed,529,1
25,29853,Self-Employed,34331,12692,Fair,3,On-Time,750,1
42,119613,Self-Employed,19209,9066,Fair,5,Delayed,613,1
49,114399,Employed,28394,7726,Fair,1,On-Time,423,1
23,46792,Employed,28682,21759,Good,4,On-Time,523,0
32,84129,Employed,5224,34587,Fair,1,On-Time,372,1
46,131019,Employed,44157,1641,Poor,6,On-Time,694,1
36,99478,Employed,35441,5127,Fair,5,On-Time,373,1
57,138811,Employed,44430,3190,Good,6,On-Time,595,1
42,139130,Employed,42129,3755,Fair,5,On-Time,654,1
49,92298,Unemployed,37716,5713,Fair,1,On-Time,350,0
